,reference
0,4.72
1,5.11
2,5.04
3,5.33
4,5.63
5,7.19
6,7.78
7,8.44
8,8.87
9,9.71
10,1.21768
11,1.4763
12,1.842698
13,1.6195
14,1.37172
15,0.997356
16,2.24192
17,1.963368
18,6.96
19,1.72086
20,2.718048
21,3.79918
22,1.016816
23,7.937314
24,1.322044
25,0.580796
26,2.564776
27,0.924302
28,1.84414
29,1.50705
30,0.708264
31,2.176703
32,2.064084
33,1.983267
34,1.76398
35,1.742343
36,1.398411
37,1.9112
38,0.971142
39,2.69652
40,1.842024
41,1.73096
42,1.298256
43,1.545922
44,1.479632
45,3.287655
46,1.971468
47,2.850068
48,5.89
49,1.547196
50,2.07754
51,2.90466
52,1.501393
53,1.198263
54,1.651964
55,1.651964
56,1.9778
57,1.82669
58,2.059904
59,1.75356
60,1.837866
61,1.481656
62,1.076112
63,1.864208
64,2.81585
65,2.669548
